"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:42:44,2155383","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2155520","sample_1_r3.exe","2860","QueryBasicInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","CreationTime: 09/12/2020 18:59:50, LastAccessTime: 09/12/2020 18:59:50, LastWriteTime: 24/04/2015 19:56:58, ChangeTime: 09/12/2020 19:28:04, FileAttributes: A"
"15:42:44,2155608","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2156127","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2156268","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"15:42:44,2156347","sample_1_r3.exe","2860","QueryStandardInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","AllocationSize: 532.480, EndOfFile: 530.432, NumberOfLinks: 1, DeletePending: False, Directory: False"
"15:42:44,2156508","sample_1_r3.exe","2860","CreateFileMapping","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","SyncType: SyncTypeOther"
"15:42:44,2156810","sample_1_r3.exe","2860","CloseFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS",""
"15:42:44,2157802","sample_1_r3.exe","2860","CreateFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:42:44,2157937","sample_1_r3.exe","2860","QueryBasicInformationFile","C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\comctl32.dll","SUCCESS","CreationTime: 09/12/2020 18:59:50, LastAccessTime: 09/12/2020 18:59:50, LastWriteTime: 24/04/2015 19:56:58, ChangeTime: 09/12/2020 19:28:04, FileAttributes: A"
